Diện tích,Mức giá,Mặt tiền,Đường vào,Hướng nhà,Pháp lý,Latitude,Longitude,Hướng ban công,Số phòng ngủ,Số toilet,Số tầng,Nội thất
128 m²,"12,9 tỷ",8 m,"5,5 m",Tây,Sổ đỏ/ Sổ hồng,16.0702924,108.2466488,,,,,
67 m²,"3,8 tỷ",,,,,16.0628848,108.2206714,,,,,
125 m²,"6,8 tỷ","5,2 m","7,5 m",,,16.0514638,108.1699852,,,,,
182 m²,"14,2 tỷ",10 m,5 m,,Sổ đỏ/ Sổ hồng,16.0572262503826,108.244173444598,,,,,
100 m²,"4,45 tỷ",5 m,"5,5 m",Tây - Bắc,Sổ đỏ/ Sổ hồng,16.0799662775546,108.16350452925,,,,,
"143,1 m²","9,5 tỷ","8,25 m","5,5 m",Tây - Bắc,Sổ đỏ/ Sổ hồng,16.0412922614087,108.243439946076,,,,,
220 m²,"14,5 tỷ",11 m,"7,5 m",Đông - Nam,Sổ đỏ/ Sổ hồng,16.08125114440918,108.16644287109375,,,,,
468 m²,30 triệu/m²,,,,,15.983246803283691,108.25209045410156,,,,,
128 m²,"4,35 tỷ",5 m,"7,5 m",Đông,Sổ đỏ/ Sổ hồng,15.979309,108.2127525,Đông,4 phòng,3 phòng,3 tầng,Đầy đủ
81 m²,"5,35 tỷ",,"10,5 m",Tây - Bắc,Sổ đỏ/ Sổ hồng.,16.0778901119078,108.160898774738,,,,,
182 m²,"14,2 tỷ",10 m,5 m,,Sổ đỏ/ Sổ hồng,16.0572262503826,108.244173444598,,,,,
100 m²,"4,45 tỷ",5 m,"5,5 m",Tây - Bắc,Sổ đỏ/ Sổ hồng,16.0799662775546,108.16350452925,,,,,
"143,1 m²","9,5 tỷ","8,25 m","5,5 m",Tây - Bắc,Sổ đỏ/ Sổ hồng,16.0412922614087,108.243439946076,,,,,
220 m²,"14,5 tỷ",11 m,"7,5 m",Đông - Nam,Sổ đỏ/ Sổ hồng,16.08125114440918,108.16644287109375,,,,,
468 m²,30 triệu/m²,,,,,15.983246803283691,108.25209045410156,,,,,
128 m²,"4,35 tỷ",5 m,"7,5 m",Đông,Sổ đỏ/ Sổ hồng,15.979309,108.2127525,Đông,4 phòng,3 phòng,3 tầng,Đầy đủ
81 m²,"5,35 tỷ",,"10,5 m",Tây - Bắc,Sổ đỏ/ Sổ hồng.,16.0778901119078,108.160898774738,,,,,
82 m²,"2,45 tỷ",5 m,3 m,,,16.0792795536754,108.133530488633,,5 phòng,5 phòng,3 tầng,
65 m²,"2,2 tỷ",5 m,3 m,,Sổ đỏ/ Sổ hồng,16.0642695894837,108.166800308805,,1 phòng,1 phòng,1 tầng,Đầy đủ
105 m²,"4,15 tỷ",5 m,,Đông,,16.016571,108.2549201,,,,,
"249,1 m²",45 triệu/m²,7 m,"7,5 m",Tây,Sổ đỏ/ Sổ hồng,16.0443738113856,108.238303150527,,,,,
100 m²,"2,85 tỷ",5 m,3 m,,Sổ đỏ/ Sổ hồng,16.0483424673609,108.181214691886,,3 phòng,2 phòng,2 tầng,Đầy đủ
352 m²,14 tỷ,,"5,5 m",Tây - Nam,Sổ đỏ/ Sổ hồng,16.0610952,108.1742953,,,,,
"140,6 m²","7,5 tỷ","8,3 m",15 m,Tây - Bắc,Sổ đỏ/ Sổ hồng,16.0857232458952,108.144726316052,Tây - Bắc,4 phòng,5 phòng,3 tầng,Đầy đủ
300 m²,17 tỷ,15 m,12 m,,Sổ đỏ/ Sổ hồng,16.017343521118164,108.24102783203125,,3 phòng,3 phòng,3 tầng,Đầy đủ
80 m²,"3,5 tỷ","5,5 m","5,5 m",,,16.0556656541132,108.165737262051,,4 phòng,3 phòng,3 tầng,
116 m²,"4,2 tỷ","5,8 m","7,5 m",Tây - Bắc,,16.0113709,108.2542309,,,,,
218 m²,"6,95 tỷ",105 m,"10,5 m",Bắc,Sổ đỏ/ Sổ hồng.,15.9815898694919,108.251903112978,,,,,
176 m²,"4,5 tỷ",9 m,105 m,Nam,Sổ đỏ/ Sổ hồng.,15.9808445609787,108.268952396307,,,,,
100 m²,Thỏa thuận,5 m,,Tây,,16.0459163241755,108.23546989211,,,,,
