price,area,Mã tin,Hướng,Phòng ăn,Loại tin,Đường trước nhà,Nhà bếp,Loại BDS,Pháp lý,Sân thượng,Chiều ngang,Số lầu,Chổ để xe hơi,Chiều dài,Số phòng ngủ,Chính chủ,Thuộc dự án
10 tỷ,"114 m
2",13497979,_,1.0,Cần bán,"7,5m",1.0,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,1.0,6m,3,1.0,19m,3,,
13 tỷ,"138 m
2",14185448,Đông Nam,1.0,Cần bán,"10,m",1.0,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,1.0,6m,2,,18m,5,,
"2,3 tỷ","195 m
2",15078051,_,1.0,Cần bán,5m,1.0,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,1.0,5m,2,1.0,40m,3,,
"17,5 tỷ","101 m
2",15176739,_,,Cần bán,"7,5m",,Nhà mặt tiền,,,5m,3,,20m,4,,
24 tỷ,"430 m
2",15081801,Đông,,Cần bán,27m,,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,,6m,5,,18m,4,,Căn hộ chung cư Olalani Riverside Towers (xem chi tiết dự án)
"47,5 tỷ","427 m
2",15128773,Đông,1.0,Cần bán,27m,1.0,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,1.0,"7,5m",5,1.0,23m,4,,Khu phức hợp Sun Symphony Residence (xem chi tiết dự án)
"12,3 tỷ","75 m
2",15170117,_,,Cần bán,10m,,Nhà mặt tiền,,,,3,,,3,,
"11,5 tỷ","88 m
2",15177863,Đông Nam,1.0,Cần bán,"7,5m",1.0,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,1.0,5m,4,1.0,18m,4,,
"4,8 tỷ","60 m
2",15177058,_,1.0,Cần bán,"5,5m",1.0,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,1.0,4m,2,1.0,15m,3,,
"5,65 tỷ","55 m
2",15170173,_,1.0,Cần bán,6m,1.0,Nhà mặt tiền,,1.0,6m,3,1.0,9m,3,,
20 tỷ,"132 m
2",15172592,_,1.0,Cần bán,"5,5m",1.0,Nhà mặt tiền,,1.0,5m,8,1.0,25m,20,,
20 tỷ,"131 m
2",14413339,_,,Cần bán,5m,,Nhà mặt tiền,,,,8,,,20,,
"7,6 tỷ","98 m
2",14100998,_,,Cần bán,7m,,Nhà mặt tiền,,,,2,,,3,,
"22,5 tỷ","160 m
2",15142085,_,,Cần bán,10m,,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,,10m,6,,,14,,
20 tỷ,"230 m
2",15142100,_,,Cần bán,10m,,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,,18m,3,,,5,,
14 tỷ,"115 m
2",15118681,_,,Cần bán,10m,,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,,5m,5,,,8,,
"3,65 tỷ","50 m
2",15175168,Bắc,1.0,Cần bán,"5,5m",1.0,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,1.0,"4,5m",3,1.0,12m,2,,
"16,5 tỷ","73 m
2",13775375,_,1.0,Cần bán,11m,1.0,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,1.0,15m,8,1.0,5m,7,,
11 tỷ,"105 m
2",15171116,_,,Cần bán,8m,,Nhà mặt tiền,,,,2,,,3,,
"3,499 tỷ","125 m
2",15173045,Tây,1.0,Cần bán,"5,5m",1.0,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,1.0,5m,2,1.0,25m,2,,
